logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,sex
-0.264253924794948,0.145103693754198,-6.30772809849572,3.72663100582706e-10,1.08482228579626e-06,12.5337142271569,enpp5,Male
-0.0976382825871015,-0.047335914552737,-5.90843515268184,4.2694042103425e-09,6.21411782815351e-06,10.2835300370632,itgav,Male
0.26371940362865,-0.0186494150034412,5.7813824211572,9.05748863269314e-09,8.78878313658991e-06,9.58290516186681,nefl,Male
-0.182816557438456,0.150488584779706,-4.82715743377025,1.52670695224627e-06,0.00089619901759465,4.88895478113371,ca14,Male
-0.305350087150644,0.269458001350439,-4.82571507206806,1.53933187494787e-06,0.00089619901759465,4.88010204890362,ca6,Male
-0.113561015488902,-0.004305530129672,-4.64146092434265,3.8071422217788e-06,0.00184709850126635,4.04932650205173,pepd,Male
0.117145745980929,-0.0379679277436946,4.52312434129981,6.58508269757344e-06,0.0027384536760909,3.55933804530889,plaur,Male
-0.158892099559816,0.102881492764661,-4.42726591905805,1.03369100309993e-05,0.00376134313752989,3.14784637864193,got1,Male
0.188290262375459,0.022638326585695,4.36416976183204,1.36456588763108e-05,0.00382531673282433,2.89988776704927,tgfa,Male
-0.186691144688146,0.0793740091463415,-4.35530836088778,1.4324298199864e-05,0.00382531673282433,2.85465028737069,cda,Male
-0.251299870158825,0.0248228088336784,-4.3517262204002,1.44549928069624e-05,0.00382531673282433,2.8478182762945,cst5,Male
-0.127256438973146,0.124422440677966,-4.31845504023299,1.6763252018151e-05,0.00406648555206979,2.71398087254464,itgb6,Male
0.181723890056241,-0.0258499324780554,4.25176645867071,2.25380522261922e-05,0.00480195654911376,2.44682065200263,il1rn,Male
0.131741938018187,0.0870844745762711,4.2462931080427,2.30942602842984e-05,0.00480195654911376,2.42517787866735,nid1,Male
-0.297429592612439,-0.106247160243408,-4.22152009859064,2.57467833609649e-05,0.00499659242425126,2.32691005714482,omg,Male
-0.0752436653756668,-0.00743784509202454,-4.11908283222289,4.04378154292488e-05,0.00735715504465896,1.92403113266468,gsr,Male
-0.137618810031089,-0.0483476045883941,-4.03565047243345,5.72349216887293e-05,0.00980063864917006,1.60816586473348,itga11,Male
-0.123464427176392,-0.0704184547908231,-4.01726705515522,6.18342650648197e-05,0.00999997475576056,1.53900153850983,itgam,Male
-0.104389080222318,-0.0367155624568668,-3.88699225545218,0.000106087661135144,0.0162537463981266,1.05828807166828,dpp4,Male
0.198778456516111,0.206431105047749,3.8672840975356,0.000114881372596495,0.0167209837814198,0.985209771910536,pi3,Male
-0.151099252174742,0.0104180669398907,-3.75085615823903,0.00018311733763775,0.024231203342002,0.569546942027144,bag3,Male
0.137787743592521,0.0509152173913044,3.75094100118687,0.000183128297328768,0.024231203342002,0.570782610927878,egfl7,Male
